run_id,variation,mode,seed,robot_id,snapshot_index,cosine_recall,recall,precision,f1,robots_json_path
bg2500-big_comm_seed001,bg2500-big,comm,1,0,19,0.47368421052631576,0.47368421052631576,0.275,0.3479789103690686,/Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/comm/seed_001/bg2500_big_comm_seed001_2026-04-23_09-25-44/robots.json
bg2500-big_comm_seed001,bg2500-big,comm,1,0,20,0.47368421052631576,0.47368421052631576,0.275,0.3479789103690686,/Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/comm/seed_001/bg2500_big_comm_seed001_2026-04-23_09-25-44/robots.json
bg2500-big_comm_seed001,bg2500-big,comm,1,0,21,0.47368421052631576,0.47368421052631576,0.275,0.3479789103690686,/Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/comm/seed_001/bg2500_big_comm_seed001_2026-04-23_09-25-44/robots.json
bg2500-big_comm_seed001,bg2500-big,comm,1,0,22,0.47368421052631576,0.47368421052631576,0.275,0.3479789103690686,/Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/comm/seed_001/bg2500_big_comm_seed001_2026-04-23_09-25-44/robots.json
bg2500-big_comm_seed001,bg2500-big,comm,1,0,23,0.47368421052631576,0.47368421052631576,0.25,0.32727272727272727,/Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/comm/seed_001/bg2500_big_comm_seed001_2026-04-23_09-25-44/robots.json
bg2500-big_comm_seed001,bg2500-big,comm,1,0,24,0.47368421052631576,0.47368421052631576,0.25,0.32727272727272727,/Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/comm/seed_001/bg2500_big_comm_seed001_2026-04-23_09-25-44/robots.json
bg2500-big_comm_seed001,bg2500-big,comm,1,0,25,0.47368421052631576,0.47368421052631576,0.25,0.32727272727272727,/Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/comm/seed_001/bg2500_big_comm_seed001_2026-04-23_09-25-44/robots.json
bg2500-big_comm_seed001,bg2500-big,comm,1,0,26,0.47368421052631576,0.47368421052631576,0.25,0.32727272727272727,/Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/comm/seed_001/bg2500_big_comm_seed001_2026-04-23_09-25-44/robots.json
bg2500-big_comm_seed001,bg2500-big,comm,1,0,27,0.47368421052631576,0.47368421052631576,0.25,0.32727272727272727,/Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/comm/seed_001/bg2500_big_comm_seed001_2026-04-23_09-25-44/robots.json
bg2500-big_comm_seed001,bg2500-big,comm,1,0,28,0.47368421052631576,0.47368421052631576,0.25,0.32727272727272727,/Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/comm/seed_001/bg2500_big_comm_seed001_2026-04-23_09-25-44/robots.json
bg2500-big_comm_seed001,bg2500-big,comm,1,0,29,0.5789473684210527,0.5789473684210527,0.325,0.4163027656477438,/Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/comm/seed_001/bg2500_big_comm_seed001_2026-04-23_09-25-44/robots.json
bg2500-big_comm_seed001,bg2500-big,comm,1,1,0,0.0,0.0,0.0,0.0,/Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/comm/seed_001/bg2500_big_comm_seed001_2026-04-23_09-25-44/robots.json
bg2500-big_comm_seed001,bg2500-big,comm,1,1,1,0.0,0.0,0.0,0.0,/Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/comm/seed_001/bg2500_big_comm_seed001_2026-04-23_09-25-44/robots.json
bg2500-big_comm_seed001,bg2500-big,comm,1,1,2,0.0,0.0,0.0,0.0,/Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/comm/seed_001/bg2500_big_comm_seed001_2026-04-23_09-25-44/robots.json
bg2500-big_comm_seed001,bg2500-big,comm,1,1,3,0.05263157894736842,0.05263157894736842,0.29411764705882354,0.08928571428571429,/Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/comm/seed_001/bg2500_big_comm_seed001_2026-04-23_09-25-44/robots.json
bg2500-big_comm_seed001,bg2500-big,comm,1,1,4,0.05263157894736842,0.05263157894736842,0.29411764705882354,0.08928571428571429,/Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/comm/seed_001/bg2500_big_comm_seed001_2026-04-23_09-25-44/robots.json
